bundesland,faelle,tod,lat,long,datum
Nordrhein-Westfalen,281,0,51.6,7.5,2020-03-06
Rheinland-Pfalz,8,0,50.0,7.3,2020-03-06
Saarland,1,0,49.4,6.97,2020-03-06
Sachsen,1,0,51.05,13.5,2020-03-06
Schleswig-Holstein,7,0,54.2,9.9,2020-03-06
Thüringen,1,0,50.85,11.13,2020-03-06
Gesamt,534,0,51.06,10.0,2020-03-06
Baden-Württemberg,116,0,48.5,9.0,2020-03-07
Bayern,117,0,48.9,11.4,2020-03-07
Berlin,24,0,52.5,13.4,2020-03-07
Brandenburg,2,0,52.0,13.87,2020-03-07
Bremen,4,0,53.1,8.8,2020-03-07
Hamburg,12,0,53.5,10.0,2020-03-07
Hessen,16,0,50.7,9.0,2020-03-07
Mecklenburg-Vorpommern,5,0,53.8,12.5,2020-03-07
Niedersachsen,19,0,52.57,10.0,2020-03-07
Nordrhein-Westfalen,346,0,51.6,7.5,2020-03-07
Rheinland-Pfalz,10,0,50.0,7.3,2020-03-07
Saarland,2,0,49.4,6.97,2020-03-07
Sachsen,2,0,51.05,13.5,2020-03-07
Schleswig-Holstein,8,0,54.2,9.9,2020-03-07
Thüringen,1,0,50.85,11.13,2020-03-07
Gesamt,684,0,51.06,10.0,2020-03-07
Baden-Württemberg,182,0,48.5,9.0,2020-03-08
Bayern,148,0,48.9,11.4,2020-03-08
Berlin,28,0,52.5,13.4,2020-03-08
Brandenburg,2,0,52.0,13.87,2020-03-08
Bremen,4,0,53.1,8.8,2020-03-08
Hamburg,13,0,53.5,10.0,2020-03-08
Hessen,17,0,50.7,9.0,2020-03-08
Mecklenburg-Vorpommern,7,0,53.8,12.5,2020-03-08
Niedersachsen,21,0,52.57,10.0,2020-03-08
Nordrhein-Westfalen,392,0,51.6,7.5,2020-03-08
Rheinland-Pfalz,15,0,50.0,7.3,2020-03-08
Saarland,4,0,49.4,6.97,2020-03-08
Sachsen,4,0,51.05,13.5,2020-03-08
Schleswig-Holstein,8,0,54.2,9.9,2020-03-08
Thüringen,2,0,50.85,11.13,2020-03-08
Gesamt,847,0,51.06,10.0,2020-03-08
Baden-Württemberg,199,0,48.5,9.0,2020-03-09
Bayern,256,0,48.9,11.4,2020-03-09
Berlin,40,0,52.5,13.4,2020-03-09
Brandenburg,6,0,52.0,13.87,2020-03-09
Bremen,4,0,53.1,8.8,2020-03-09
Hamburg,17,0,53.5,10.0,2020-03-09
Hessen,20,0,50.7,9.0,2020-03-09
Mecklenburg-Vorpommern,8,0,53.8,12.5,2020-03-09
Niedersachsen,33,0,52.57,10.0,2020-03-09
Nordrhein-Westfalen,484,0,51.6,7.5,2020-03-09
Rheinland-Pfalz,19,0,50.0,7.3,2020-03-09
Saarland,5,0,49.4,6.97,2020-03-09
Sachsen,10,0,51.05,13.5,2020-03-09
Schleswig-Holstein,9,0,54.2,9.9,2020-03-09
Thüringen,2,0,50.85,11.13,2020-03-09
Gesamt,1112,0,51.06,10.0,2020-03-09
Baden-Württemberg,204,0,48.5,9.0,2020-03-10
Bayern,256,0,48.9,11.4,2020-03-10
Berlin,48,0,52.5,13.4,2020-03-10
Brandenburg,6,0,52.0,13.87,2020-03-10
Bremen,4,0,53.1,8.8,2020-03-10
Hamburg,17,0,53.5,10.0,2020-03-10
Hessen,26,0,50.7,9.0,2020-03-10
Mecklenburg-Vorpommern,10,0,53.8,12.5,2020-03-10
Niedersachsen,38,0,52.57,10.0,2020-03-10
Nordrhein-Westfalen,484,2,51.6,7.5,2020-03-10
Rheinland-Pfalz,17,0,50.0,7.3,2020-03-10
Saarland,6,0,49.4,6.97,2020-03-10
Sachsen,12,0,51.05,13.5,2020-03-10
Schleswig-Holstein,9,0,54.2,9.9,2020-03-10
Thüringen,2,0,50.85,11.13,2020-03-10
Gesamt,1139,2,51.06,10.0,2020-03-10
Baden-Württemberg,277,0,48.5,9.0,2020-03-11
Bayern,366,0,48.9,11.4,2020-03-11
Berlin,90,0,52.5,13.4,2020-03-11
Brandenburg,24,0,52.0,13.87,2020-03-11
Bremen,21,0,53.1,8.8,2020-03-11
Hamburg,48,0,53.5,10.0,2020-03-11
Hessen,48,0,50.7,9.0,2020-03-11
Mecklenburg-Vorpommern,17,0,53.8,12.5,2020-03-11
Niedersachsen,75,0,52.57,10.0,2020-03-11
Nordrhein-Westfalen,484,3,51.6,7.5,2020-03-11
Rheinland-Pfalz,25,0,50.0,7.3,2020-03-11
Saarland,14,0,49.4,6.97,2020-03-11
Sachsen,26,0,51.05,13.5,2020-03-11
Sachsen-Anhalt,15,0,52.0,11.65,2020-03-11
Schleswig-Holstein,27,0,54.2,9.9,2020-03-11
Thüringen,10,0,50.85,11.13,2020-03-11
Gesamt,1567,3,51.06,10.0,2020-03-11
Baden-Württemberg,454,1,48.5,9.0,2020-03-14
Bayern,558,1,48.9,11.4,2020-03-14
Berlin,174,0,52.5,13.4,2020-03-14
Brandenburg,44,0,52.0,13.87,2020-03-14
Bremen,42,0,53.1,8.8,2020-03-14
Hamburg,99,0,53.5,10.0,2020-03-14
Hessen,148,0,50.7,9.0,2020-03-14
Mecklenburg-Vorpommern,33,0,53.8,12.5,2020-03-14
Niedersachsen,230,0,52.57,10.0,2020-03-14
Nordrhein-Westfalen,936,3,51.6,7.5,2020-03-14
Rheinland-Pfalz,102,0,50.0,7.3,2020-03-14
Saarland,40,0,49.4,6.97,2020-03-14
Sachsen,83,0,51.05,13.5,2020-03-14
Sachsen-Anhalt,42,0,52.0,11.65,2020-03-14
Schleswig-Holstein,48,0,54.2,9.9,2020-03-14
Thüringen,29,0,50.85,11.13,2020-03-14
Gesamt,3062,5,51.06,10.0,2020-03-14
